player_id,player_name,bat_hand,throw_hand
666142,cole ragans,L,L
693645,cam schlittler,R,R
645261,sandy alcantara,R,R
668909,gavin williams,L,R
669923,george kirby,R,R
622491,luis castillo,R,R
676974,max meyer,L,R
702070,noah cameron,L,L
641816,tyler mahle,R,R
656550,grant holmes,L,R
453286,max scherzer,R,R
808963,roki sasaki,R,R
605288,adrian houser,R,R
682052,jacob lopez,L,L
676440,tanner bibee,R,R
607625,seth lugo,R,R
686218,emmet sheehan,R,R
605488,jeffrey springs,L,L
622663,luis severino,R,R
677944,slade cecconi,R,R
694738,landen roupp,R,R
608379,michael wacha,R,R
701542,will warren,R,R
800048,parker messick,L,L
693821,bryce elder,R,R
547179,michael lorenzen,R,R
676282,joey cantillo,L,L
661563,luis gil,R,R
677960,ryan weathers,R,L
607536,kyle freeland,L,L
663978,chris paddack,R,R
801403,chase dollander,R,R
650644,aaron civale,R,R
608372,tomoyuki sugano,R,R
641778,eric lauer,R,L
663372,ryan feltner,R,R
685299,tanner gordon,L,R
676106,emerson hancock,R,R
642232,ryan yarbrough,R,L
669372,j.t. ginn,R,R
676083,janson junk,R,R
621112,paul blackburn,R,R
674370,osvaldo bido,R,R
680736,justin wrobleski,L,L
678022,jack perkins,R,R
694918,blade tidwell,R,R
622608,antonio senzatela,R,R
687765,mitch spence,R,R
663969,tyler phillips,R,R
664141,jt brubaker,R,R
681867,cooper criswell,R,R
676775,keaton winn,R,R
643410,mark leiter jr.,R,R
683232,nick mears,R,R
669212,eli morgan,R,R
681911,alex vesia,L,L
641401,connor brogdon,R,R
680755,braydon fisher,R,R
670280,david bednar,L,R
669276,dylan lee,L,L
642100,gabe speier,L,L
677961,cole wilcox,R,R
670167,john schreiber,R,R
573009,joe mantiply,R,L
657756,connor seabold,R,R
666808,camilo doval,R,R
660825,eduard bazardo,R,R
669622,anthony bender,R,R
669165,kyle hurt,R,R
656848,michael petersen,R,R
688642,zach agnos,R,R
628452,raisel iglesias,R,R
621381,matt strahm,R,L
676263,jack dreyer,R,L
667297,tommy nance,R,R
669062,erik miller,L,L
666374,matt brash,R,R
656638,alex lange,R,R
680767,victor vodnik,R,R
595014,blake treinen,R,R
668873,caleb kilian,R,R
657424,matt gage,L,L
621366,ryan borucki,L,L
688883,peyton pallette,R,R
542888,shawn armstrong,R,R
693686,spencer miles,L,R
657514,brennan bernardino,L,L
641755,tyler kinley,R,R
657612,tim hill,R,L
605130,scott barlow,R,R
518585,fernando cruz,R,R
667463,john king,L,L
670036,matt festa,R,R
656945,tanner scott,R,L
656546,jeff hoffman,R,R
675848,juan mejia,R,R
686973,louis varland,L,R
694361,will klein,R,R
671922,cade smith,R,R
802686,hayden harris,L,L
669270,joel kuhnel,R,R
677053,andrew nardi,L,L
606303,joel payamps,R,R
623474,jimmy herget,R,R
663687,hogan harris,R,L
678606,jose a. ferrer,L,L
687396,brent headrick,L,L
682120,tim herrin,L,L
668984,casey legumina,R,R
676254,ryan walker,R,R
683769,hunter gaddis,R,R
607481,aaron bummer,L,L
669199,lake bachar,R,R
665660,elvis alvarado,R,R
677955,jaden hill,R,R
686993,justin sterner,R,R
689254,mason fluharty,R,L
